Tahun,Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Kesakitan,Stunting (%),IKP,IKP Ranking
2019,blitar - bakung,5,9,895,4451,1,8046,596,96,1180,2355,7060,98
2019,blitar - ponggok,5,38,1211,5611,11,6225,200,89,1194,3186,6267,368
2019,blitar - sanankulon,4,34,1027,5228,0,10000,200,99,1082,2702,6003,446
2019,blitar - wonotirto,5,22,1111,4086,3,6677,596,89,1255,2922,6825,174
2019,blitar - nglegok,5,42,1155,7467,1,6270,596,102,1171,3039,6179,390
2019,blitar - kanigoro,5,37,895,4231,0,7363,596,91,1220,2355,6612,242
2019,blitar - garum,5,25,1092,5573,10,7029,1000,91,1394,2873,6663,222
2019,blitar - sutojayan,6,36,895,4013,0,2928,1200,97,1187,2355,7480,30
2019,blitar - panggungrejo,5,12,1057,1995,0,6671,200,89,1296,2780,7113,85
2019,blitar - talun,5,21,895,4407,0,4305,596,86,1415,2355,7333,48
2019,blitar - gandusari,5,34,1211,6009,1,7079,1200,90,1362,3186,6417,319
2019,blitar - binangun,5,24,1159,4021,93,5515,900,91,948,3048,7080,92
2019,blitar - wlingi,5,40,1023,4446,0,6782,500,96,1326,2690,6427,316
2019,blitar - doko,5,40,1018,4379,0,5682,596,92,1302,2679,6660,224
2019,blitar - kesamben,6,29,990,4446,0,3060,596,92,1070,2604,7368,45
2019,blitar - wates,6,13,1211,2564,3,4648,600,95,954,3186,7435,35
2019,blitar - selorejo,5,33,1091,4283,19,2653,900,91,1443,2870,7218,65
2019,blitar - selopuro,6,29,1035,3487,5,2630,1700,98,1347,2724,7662,13
2019,kediri - semen,5,23,1515,1965,0,4715,800,80,1489,4002,6875,157
2019,kediri - mojo,5,21,1515,2817,2,4267,545,83,1571,4002,6797,181
2019,kediri - kras,4,96,1120,2046,1,6958,300,80,1372,2958,5328,551
2019,kediri - ngadiluwih,4,118,1304,2323,0,5798,600,68,1138,3446,5066,568
2019,kediri - kandat,4,79,1295,3677,21,4553,545,70,1552,3421,5760,493
2019,kediri - wates,4,86,1337,3200,2,4897,200,76,1285,3533,5555,523
2019,kediri - ngancar,4,69,1507,2042,0,5631,545,67,1279,3981,5854,469
2019,kediri - puncu,5,48,1514,2547,2,4885,545,77,1352,3999,6289,364
2019,kediri - plosoklaten,5,26,1387,2330,0,5639,900,81,1412,3665,6805,177
2019,kediri - gurah,5,42,1408,3061,0,3614,545,64,1453,3719,6656,226
2019,kediri - pagu,6,25,1120,2512,0,0,400,73,1401,2958,7798,8
2019,kediri - gampengrejo,5,34,1145,1783,1,6519,1200,75,1222,3026,6967,123
2019,kediri - grogol,5,24,1325,4281,22,1876,600,60,1337,3502,7321,50
2019,kediri - papar,6,17,1120,4851,1,592,545,79,1222,2958,7785,9
2019,kediri - purwoasri,6,19,1372,3880,0,2652,1000,68,1259,3625,7409,38
2019,kediri - plemahan,5,15,1285,4847,1,6976,600,72,1584,3394,6608,244
2019,kediri - pare,5,55,1290,3114,11,4069,600,77,1521,3408,6374,331
2019,kediri - kepung,4,93,1383,3103,3,6478,900,76,1287,3655,5350,548
2019,kediri - kandangan,5,24,1515,1922,11,3096,1100,71,1283,4002,7275,55
2019,kediri - tarokan,5,25,1493,5009,1,5747,300,71,1776,3944,6240,375
2019,kediri - kunjang,5,16,1120,3460,1,5983,1200,73,1445,2958,7210,67
2019,kediri - banyakan,5,26,1272,3848,0,7267,545,73,1519,3361,6450,308
2019,kediri - ringinrejo,4,80,1378,3229,6,8159,600,68,1091,3642,5355,547
2019,kediri - kayen kidul,6,21,1124,4834,0,4328,100,72,0,2969,7501,26
2019,kediri - ngasem,5,66,1120,2038,0,2642,900,67,1181,2958,6861,164
2019,kediri - badas,5,32,1443,3861,0,6407,662,76,1416,3813,6353,341
2019,malang - donomulyo,6,12,1183,4314,0,918,276,106,1869,2821,7480,31
2019,malang - pagak,5,55,972,7459,3,5176,600,100,1560,2319,6156,395
2019,malang - bantur,5,18,1315,4166,31,2005,276,110,1660,3138,7149,81
2019,malang - sumbermanjing wetan,4,73,1156,6120,0,5739,276,113,1257,2757,5631,516
2019,malang - dampit,5,30,1315,5199,2,6541,276,114,1481,3138,6209,387
2019,malang - ampelgading,4,66,1274,5258,3,5588,600,109,1281,3040,5847,470
2019,malang - poncokusumo,5,41,1315,5520,34,2234,200,108,1437,3138,6618,238
2019,malang - wajak,5,22,1315,2212,21,5416,200,103,1415,3138,6787,186
2019,malang - turen,4,55,1303,7223,1,4600,276,106,1219,3109,5990,448
2019,malang - gondanglegi,3,132,972,6641,1,3840,276,106,1415,2319,4809,581
2019,malang - kalipare,5,19,1239,5141,0,6213,900,114,1437,2955,6749,196
2019,malang - sumberpucung,5,36,1051,5558,1,4615,276,113,1313,2508,6669,219
2019,malang - kepanjen,4,89,972,6818,0,4289,276,107,1252,2319,5654,511
2019,malang - bululawang,5,62,1130,8091,0,3457,276,111,1102,2696,6143,400
2019,malang - tajinan,4,39,1315,5494,227,9707,900,111,1537,3138,5637,514
2019,malang - tumpang,4,38,1176,6722,0,10000,1200,112,710,2805,6100,413
2019,malang - jabung,5,28,1315,3746,0,5255,600,106,1935,3138,6489,295
2019,malang - pakis,3,150,972,4523,1,6963,300,112,1336,2319,4164,601
2019,malang - pakisaji,4,103,972,6350,1,5380,900,104,1445,2319,5362,544
2019,malang - ngajum,4,58,1114,5216,12,10000,300,106,1400,2657,5370,543
