Tahun,Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Kesakitan,Stunting (%),IKP,IKP Ranking
2020,kediri - kras,6,115,1120,2567,58,725,822,60,1594,1370,7857,133
2020,kediri - ngadiluwih,4,353,1304,2490,59,3998,806,66,1115,630,5725,591
2020,kediri - kandat,5,140,1295,3359,58,2343,816,171,1941,1224,7118,384
2020,kediri - wates,6,95,1337,4719,58,2558,824,110,662,1342,7450,265
2020,kediri - ngancar,5,75,1507,2098,58,4738,642,235,547,1227,7148,371
2020,kediri - puncu,5,268,1514,3445,59,2216,715,271,775,1606,6229,570
2020,kediri - plosoklaten,5,51,1387,3591,58,5024,791,176,1949,1902,6927,447
2020,kediri - gurah,5,85,1408,5921,59,3374,815,91,1020,1428,6979,430
2020,kediri - pagu,5,155,1120,1143,59,3490,779,113,1540,1729,7023,416
2020,kediri - gampengrejo,5,42,1145,3820,58,6119,594,92,1578,992,6987,426
2020,kediri - grogol,5,33,1325,6808,59,4314,795,107,949,1170,7158,370
2020,kediri - papar,6,25,1120,2110,59,3323,740,116,1766,1784,7557,230
2020,kediri - purwoasri,6,22,1372,5642,59,2732,679,74,1766,1855,7347,298
2020,kediri - plemahan,6,22,1285,2786,59,1256,748,159,1911,704,8051,78
2020,kediri - pare,5,87,1290,5623,59,4077,916,56,1195,1623,6915,451
2020,kediri - kepung,6,55,1383,1680,59,2012,693,161,1040,2147,7679,191
2020,kediri - kandangan,5,29,1515,1873,59,6330,815,249,1861,2105,6662,510
2020,kediri - tarokan,5,36,1493,2903,62,3293,608,148,1224,592,7085,394
2020,kediri - kunjang,6,19,1120,5139,58,1365,539,130,1884,2095,7776,146
2020,kediri - banyakan,6,26,1272,2105,59,709,688,250,2270,893,8068,71
2020,kediri - ringinrejo,6,108,1378,3578,59,1188,618,150,1328,941,7346,300
2020,kediri - kayen kidul,6,41,1124,2217,59,1779,713,43,1766,2449,7743,158
2020,kediri - ngasem,5,105,1120,4724,58,5828,946,92,2709,637,6596,524
2020,kediri - badas,5,42,1443,3720,58,3499,823,178,2351,1403,7171,365
2020,malang - donomulyo,5,17,1183,3413,61,5343,501,433,1575,693,6824,473
2020,malang - pagak,6,40,972,3915,58,674,361,105,632,1290,8375,28
2020,malang - bantur,6,38,1315,3874,60,2852,520,198,629,1340,7347,296
2020,malang - sumbermanjing wetan,5,91,1156,1584,60,5085,450,767,661,1150,6747,492
2020,malang - dampit,6,73,1315,2894,60,2516,710,205,696,1320,7347,297
2020,malang - ampelgading,5,120,1274,3768,58,3323,687,436,1276,1873,6886,463
2020,malang - poncokusumo,5,63,1315,4083,60,2364,696,598,677,476,7300,319
2020,malang - wajak,5,44,1315,3670,59,3844,625,229,577,1162,7325,310
2020,malang - turen,5,94,1303,4673,60,2005,863,115,1135,1881,7207,354
2020,malang - gondanglegi,6,57,972,1658,59,1256,541,50,1337,1810,7976,97
2020,malang - kalipare,5,31,1239,4603,60,5297,653,476,1719,1197,6618,518
2020,malang - sumberpucung,6,53,1051,6927,59,1855,717,93,1464,1935,7450,264
2020,malang - kepanjen,6,73,972,1725,60,638,754,125,711,698,8191,49
2020,malang - bululawang,6,91,1130,4598,59,1209,771,95,1422,1378,7588,218
2020,malang - tajinan,5,59,1315,2336,61,2761,671,85,1272,1766,7241,341
2020,malang - tumpang,6,60,1176,2489,60,815,775,102,1071,2043,7804,142
2020,malang - jabung,5,106,1315,2685,59,2624,647,207,1037,1216,7317,314
2020,malang - pakis,6,116,972,1109,60,3009,858,145,626,255,7690,183
2020,malang - pakisaji,6,72,972,1050,60,1329,874,100,1472,939,8026,82
2020,malang - ngajum,6,45,1114,4870,59,1448,691,159,859,1420,7898,122
2020,malang - wagir,5,244,990,4779,60,2139,777,153,953,540,6595,525
2020,malang - dau,5,227,972,5203,59,3561,1624,209,1913,1294,6478,542
2020,malang - karang ploso,6,59,1088,1287,59,828,863,146,1455,1089,8175,51
2020,malang - singosari,6,91,1031,2771,61,2912,876,125,716,480,7506,246
2020,malang - lawang,6,129,1145,1771,59,1194,785,128,1083,746,7731,166
2020,malang - pujon,4,257,1201,8007,61,1687,642,369,2225,3060,5359,597
2020,malang - ngantang,5,123,1273,3573,60,1134,674,309,1040,2226,7044,410
2020,malang - kasembon,5,38,1224,3539,59,5318,987,114,1518,1616,7047,408
2020,malang - gedangan,6,66,1284,3285,60,2155,483,246,1396,301,7422,273
2020,malang - tirtoyudo,5,92,1210,2976,59,6309,647,421,1324,2312,6350,560
2020,malang - kromengan,6,35,1161,6124,59,2400,849,70,1455,1027,7625,206
2020,malang - wonosari,6,79,1095,2797,58,1132,684,181,947,2091,7920,116
2020,malang - pagelaran,6,65,1315,1015,59,4489,580,111,589,1535,7382,282
2020,lumajang - tempursari,6,26,1028,3272,59,1518,739,244,1174,1766,8003,89
2020,lumajang - pronojiwo,6,52,1071,3182,60,1463,548,504,1277,298,7745,156
2020,lumajang - candipuro,6,14,1391,3357,60,3039,604,172,766,880,7598,216
2020,lumajang - pasirian,6,23,1238,2404,59,2368,655,169,642,1300,7956,106
2020,lumajang - tempeh,6,32,1183,3429,60,2290,592,87,1017,790,7737,161
2020,lumajang - kunir,6,36,1386,5308,59,1063,526,140,1721,685,7635,204
2020,lumajang - yosowilangun,6,20,1253,3813,60,1409,667,170,782,524,8025,83
2020,lumajang - rowokangkung,5,18,1236,5808,59,4478,661,107,2548,668,7051,404
2020,lumajang - tekung,6,20,1028,5169,60,4136,688,59,1108,1129,7367,289
2020,lumajang - lumajang,6,54,1028,1962,58,3307,845,75,1521,501,7907,119
2020,lumajang - pasrujambe,5,20,1391,2917,59,6382,626,379,2001,755,6761,488
2020,lumajang - senduro,5,145,1211,4133,59,2695,591,413,1437,1076,6781,483
2020,lumajang - gucialit,3,500,1337,2928,60,3076,538,248,1513,2167,4432,604
2020,lumajang - padang,5,61,1391,5215,60,4003,580,152,2407,1420,6501,534
2020,lumajang - sukodono,6,28,1096,4725,60,3325,593,66,1392,263,7508,245
2020,lumajang - kedungjajang,5,64,1217,3627,59,3624,526,147,1071,1272,7218,348
2020,lumajang - jatiroto,6,28,1299,1533,58,4108,692,95,1505,521,7691,182
2020,lumajang - randuagung,6,30,1255,4998,58,2782,501,129,901,700,7773,148
2020,lumajang - klakah,6,63,1184,6163,59,2574,558,172,607,1016,7394,279
2020,lumajang - ranuyoso,5,49,1253,4155,60,3052,422,218,1614,215,7247,340
2020,lumajang - sumbersuko,5,45,1177,4019,60,5404,685,92,701,1118,7067,400
2020,jember - jombang,6,36,1079,8567,60,1540,790,36,1368,314,7579,222
2020,jember - kencong,6,34,1338,2971,59,2652,606,60,847,1830,7624,207
2020,jember - sumberbaru,5,52,1204,4741,59,6238,493,217,2153,630,6480,541
2020,jember - gumukmas,6,21,1191,3444,59,3058,694,120,1369,1420,7605,213
2020,jember - umbulsari,5,117,989,3681,58,6429,639,97,2392,1020,6472,544
2020,jember - tanggul,5,44,1194,2521,59,4291,533,286,1249,980,7292,322
2020,jember - semboro,5,51,1240,6239,58,5342,564,144,1157,1133,6864,467
2020,jember - puger,6,43,1197,1214,58,1830,586,235,2084,1210,7901,120
2020,jember - bangsalsari,5,57,1282,8617,60,3402,488,149,1369,1140,6679,507
2020,jember - balung,6,40,1217,4707,59,4016,646,62,844,1320,7373,285
2020,jember - wuluhan,6,36,1214,7779,59,1252,564,137,1260,1320,7552,231
2020,jember - ambulu,5,41,1103,3146,61,6122,641,99,1126,370,6920,449
2020,jember - rambipuji,5,48,1338,5042,59,3923,509,71,966,1480,7139,375
2020,jember - panti,5,39,1206,4959,59,3917,500,413,3133,1511,6691,504
2020,jember - sukorambi,6,39,1259,4838,60,1301,268,117,1400,581,7571,224
2020,jember - jenggawah,5,34,1212,4876,60,5177,538,87,794,1640,6941,443
2020,jember - ajung,5,44,1079,6330,61,5428,430,120,1770,1382,6404,554
2020,jember - tempurejo,5,23,1284,7500,59,3464,572,693,1011,1100,7087,391
2020,jember - kaliwates,4,368,989,2620,59,3749,893,22,2155,1990,5502,595
2020,jember - patrang,6,94,989,1900,58,1675,980,46,2072,240,8064,74
2020,jember - sumbersari,5,152,989,3131,59,1240,763,62,2676,240,7296,321
2020,jember - arjasa,5,49,1312,8611,59,5367,606,167,1308,1195,6413,553
2020,jember - mumbulsari,5,49,1336,5420,59,6341,288,146,1412,400,6457,546
2020,jember - pakusari,4,66,1333,8920,60,5919,600,78,1710,872,6071,581
2020,jember - jelbuk,5,39,1308,1870,60,5440,552,192,1640,2708,6707,502
2020,jember - mayang,5,34,989,6279,59,5358,788,206,2239,326,7003,423
2020,jember - kalisat,5,63,1190,1958,60,5392,523,128,1968,3315,6503,533
2020,jember - ledokombo,5,39,1219,2193,59,4954,380,426,1246,2807,6842,469
2020,jember - sukowono,5,61,1314,2268,59,5921,506,104,2023,971,6784,482
2020,jember - silo,6,59,1320,3336,59,2199,520,359,1633,640,7466,259
2020,jember - sumberjambe,5,58,1300,1318,61,4406,367,228,1585,2935,6601,521
2020,banyuwangi - pesanggaran,6,43,965,3251,58,700,549,573,1885,930,8096,63
2020,banyuwangi - bangorejo,6,83,1029,5097,58,642,747,192,934,850,8056,76
2020,banyuwangi - purwoharjo,6,50,900,2372,58,1185,766,152,1558,1210,8314,30
2020,banyuwangi - tegaldlimo,6,26,840,2427,60,693,600,945,2380,460,7832,138
2020,banyuwangi - muncar,6,60,901,4770,58,2324,656,163,1446,740,7856,134
2020,banyuwangi - cluring,6,32,1101,1784,59,2082,657,61,1196,1980,7997,90
2020,banyuwangi - gambiran,6,40,872,3754,59,959,643,72,974,620,8287,36
2020,banyuwangi - srono,6,24,1023,2359,58,3424,668,111,1417,870,8015,86
2020,banyuwangi - genteng,6,34,949,3381,58,3237,777,43,1809,840,7896,123
2020,banyuwangi - glenmore,6,25,933,1388,59,1841,635,493,1503,570,8159,52
2020,banyuwangi - kalibaru,6,43,1101,3434,58,2510,630,551,2260,724,7550,233
2020,banyuwangi - singojuruh,6,28,1101,4454,58,5407,605,307,578,526,7375,283
2020,banyuwangi - rogojampi,6,37,899,4055,57,3020,632,77,1577,930,7962,103
2020,banyuwangi - kabat,5,22,899,3279,58,6304,636,266,1940,188,7297,320
2020,banyuwangi - glagah,5,16,1101,4798,58,3480,536,1416,620,1986,7325,311
2020,banyuwangi - banyuwangi,6,15,1101,5420,57,1297,371,408,1607,561,8031,80
2020,banyuwangi - giri,5,215,814,3067,57,1925,980,28,2552,1350,7134,380
2020,banyuwangi - wongsorejo,5,69,814,5735,59,3641,736,383,1876,580,7214,352
2020,banyuwangi - songgon,6,21,954,2231,58,2456,633,113,1385,1120,8225,43
2020,banyuwangi - sempu,5,13,1092,957,59,5884,614,108,2681,322,7215,351
2020,banyuwangi - kalipuro,6,27,1085,4693,58,647,600,78,1299,1701,8153,56
2020,banyuwangi - siliragung,6,43,814,2348,59,2662,675,514,1223,101,7942,107
2020,banyuwangi - tegalsari,6,33,1037,4026,58,649,741,79,1619,370,8398,26
2020,banyuwangi - licin,6,17,897,3526,58,4415,519,118,1881,702,7602,214
2020,,,,,,,,,,,,,
2020,bondowoso - maesan,6,26,814,4423,60,1906,535,700,1852,960,7616,209
2020,bondowoso - tamanan,5,13,1534,8577,58,2910,637,222,1585,1163,7137,378
2020,bondowoso - tlogosari,5,8,1564,5219,58,3399,637,66,1760,2673,7179,362
2020,bondowoso - sukosari,6,9,1606,2296,59,2310,422,190,944,2085,7545,239
2020,bondowoso - pujer,5,11,1707,4924,58,5962,529,66,2179,1687,6565,526
2020,bondowoso - grujugan,5,13,1617,7597,58,5117,512,191,1497,620,6763,487
2020,bondowoso - curahdami,6,35,1294,4860,58,2477,928,12,1661,1510,7684,188
2020,bondowoso - tenggarang,5,9,1643,4905,59,3659,638,86,2136,1201,7105,388
2020,bondowoso - wonosari,5,6,1570,7443,58,3338,578,124,1248,1494,7263,330
2020,bondowoso - tapen,6,10,1464,5343,59,3668,549,233,1238,443,7340,303
2020,bondowoso - bondowoso,5,12,1294,7291,62,4224,586,40,1922,1786,6444,550
2020,bondowoso - wringin,6,10,1497,6068,58,2946,507,114,2048,635,7417,274
2020,bondowoso - tegalampel,6,11,1447,2791,59,4131,499,114,807,491,7572,223
2020,bondowoso - klabang,5,8,1447,7434,59,2203,446,84,1220,1712,7320,312
2020,bondowoso - cermee,6,6,1433,4785,59,3410,655,121,631,1775,7518,243
2020,bondowoso - prajekan,6,1,1527,4296,59,4387,562,281,684,640,7355,293
2020,bondowoso - pakem,6,8,1453,4351,59,884,577,84,737,1931,7995,92
2020,bondowoso - sumberwringin,5,6,1423,3578,59,5405,186,32,1385,2994,6720,501
2020,bondowoso - sempol,5,3,1497,9180,59,4277,668,113,1820,2561,6511,532
2020,bondowoso - binakal,6,14,1630,4260,58,2300,650,124,614,142,7879,126
2020,bondowoso - taman krocok,6,11,1643,3199,58,2319,561,66,1108,3014,7560,228
2020,bondowoso - botolinggo,3,500,1527,6311,58,4801,618,441,1240,2531,3796,606
2020,bondowoso - jambesari darus sholah,5,13,1692,4746,59,5073,562,45,551,2351,6947,441
2020,situbondo - jatibanteng,5,26,1563,5388,59,4503,608,200,1825,2224,6663,509
2020,situbondo - besuki,5,35,1155,2200,59,6375,551,229,1087,1982,6898,460
2020,situbondo - suboh,5,36,1504,2869,59,3325,596,110,1349,1860,7309,316
2020,situbondo - mlandingan,6,27,1377,6027,60,1130,582,131,1531,942,7547,237
2020,situbondo - kendit,5,27,1560,5641,59,1950,578,264,1129,1912,7256,336
2020,situbondo - panarukan,4,20,1563,7090,62,4771,610,431,1117,3016,6102,577
2020,situbondo - situbondo,5,32,1160,5068,59,2819,788,259,1467,2987,7329,306
2020,situbondo - panji,5,17,1451,7201,59,4085,412,83,1414,1971,6827,470
2020,situbondo - mangaran,6,69,1155,4463,60,1440,847,107,1718,1228,7547,236
2020,situbondo - kapongan,6,36,1170,7894,59,2100,645,194,652,1170,7528,241
2020,situbondo - arjasa,5,22,1398,1549,59,5207,427,130,1419,3762,6906,456
2020,situbondo - jangkar,5,12,1256,5243,58,3107,414,602,1650,2295,7162,367
2020,situbondo - asembagus,5,26,1487,3758,59,4201,498,314,1811,2265,6925,448
2020,situbondo - banyuputih,6,39,1190,3493,59,2091,682,240,1428,3331,7468,258
2020,situbondo - sumbermalang,5,6,1690,4618,59,4006,471,236,1278,768,7130,382
2020,situbondo - banyuglugur,5,24,1454,8900,60,3352,507,90,795,1252,6912,452
2020,situbondo - bungatan,5,20,1393,3556,59,4859,577,137,1445,2475,7026,413
2020,probolinggo - sukapura,5,27,1386,6164,59,4235,597,1328,1315,1720,6551,527
2020,probolinggo - sumber,3,287,1795,8787,59,5530,447,390,1765,2181,4367,605
2020,probolinggo - kuripan,3,136,2251,9315,60,6409,405,331,1602,1928,4673,603
2020,probolinggo - bantaran,5,46,2251,6342,58,1287,473,220,1388,2507,6819,474
2020,probolinggo - leces,5,116,2385,1054,59,2175,494,158,1591,401,6793,479
2020,probolinggo - banyuanyar,5,62,2033,5799,59,1289,582,133,1542,1105,7057,402
2020,probolinggo - tiris,5,55,2050,5177,60,4052,575,65,1004,2080,6467,545
2020,probolinggo - krucil,5,140,2285,3509,59,1968,461,354,563,1580,6448,548
2020,probolinggo - gading,4,45,2240,6057,59,5210,408,617,731,1471,6052,583
2020,probolinggo - pakuniran,5,25,2096,2009,59,4744,622,139,861,2080,6911,454
2020,probolinggo - kotaanyar,5,50,1993,4236,59,6007,576,149,1280,1450,6346,561
2020,probolinggo - paiton,5,55,2355,2260,60,4159,649,132,1096,3716,6210,572
2020,probolinggo - besuk,5,76,2028,3044,59,3107,699,70,1430,2070,6770,485
2020,probolinggo - kraksaan,5,39,2323,4482,58,4515,608,38,1878,1820,6422,552
2020,probolinggo - krejengan,5,63,1795,5487,59,4254,785,119,779,289,6937,444
2020,probolinggo - pejarakan,5,36,2055,7333,59,3886,600,158,1651,2384,6280,568
2020,probolinggo - maron,5,80,2090,4203,58,3839,762,53,1354,1317,6745,493
2020,probolinggo - gending,5,36,2294,5836,58,4653,627,66,970,2010,6492,535
2020,probolinggo - dringu,5,43,1986,7276,60,3011,732,64,1780,1718,6532,529
2020,probolinggo - tegalsiwalan,5,162,1928,7364,59,919,629,81,1015,540,6686,506
2020,probolinggo - sumberasih,5,42,2160,6968,59,2991,416,109,1480,1180,6621,517
2020,probolinggo - wonomerto,5,92,2010,5052,58,2658,647,166,771,1744,6866,466
2020,probolinggo - tongas,5,66,2208,5263,58,963,593,143,1036,2004,7166,366
2020,probolinggo - lumbang,4,48,2227,6450,59,5211,505,99,699,2441,6038,584
2020,pasuruan - purwodadi,5,50,2086,3438,59,3365,656,123,761,1108,7068,399
2020,pasuruan - tutur,5,17,1171,2982,59,4739,675,537,1054,2270,7254,338
2020,pasuruan - puspo,5,199,1290,4767,58,3103,640,86,1749,2470,6376,556
2020,pasuruan - lumbang,5,52,996,3412,58,5456,672,370,884,737,7264,329
2020,pasuruan - pasrepan,5,40,1285,2151,59,4041,503,273,777,2215,7276,326
2020,pasuruan - kejayan,5,20,1290,921,59,5942,590,287,1018,4091,6942,442
2020,pasuruan - wonorejo,6,13,1159,3329,59,3982,668,106,1031,2480,7464,261
2020,pasuruan - purwosari,5,18,1155,7278,59,4453,500,127,880,371,7198,357
2020,pasuruan - sukorejo,6,32,954,4137,59,789,774,217,1382,1720,8156,55
2020,pasuruan - prigen,6,18,1053,2181,58,1187,698,170,929,1680,8488,18
2020,pasuruan - pandaan,5,21,1251,6746,59,4340,775,84,564,2785,7159,368
2020,pasuruan - gempol,6,32,954,2919,58,2846,881,63,800,1800,8112,58
2020,pasuruan - beji,6,43,982,5071,57,2435,851,59,1398,1880,7881,125
2020,pasuruan - bangil,5,31,954,4684,59,4863,854,83,1442,2767,7205,355
2020,pasuruan - rembang,5,53,954,5155,59,1454,913,57,4498,2140,7186,360
2020,pasuruan - kraton,6,18,1127,2621,60,2319,711,143,1757,1958,7705,173
2020,pasuruan - pohjentrek,6,24,1283,3711,57,1786,595,79,1503,2060,7920,115
2020,pasuruan - gondangwetan,6,24,954,3640,59,4095,734,23,1159,1974,7549,235
2020,pasuruan - winongan,6,15,1274,1703,59,2841,581,95,1219,2839,7714,170
2020,pasuruan - grati,6,20,1260,1393,58,3282,446,78,1551,3842,7485,253
2020,pasuruan - nguling,6,73,1166,2751,59,2443,584,172,1592,2185,7344,301
2020,pasuruan - lekok,5,28,1228,1872,57,5780,674,51,2229,3260,7086,393
2020,pasuruan - rejoso,6,17,1176,1925,59,3907,773,108,1427,2348,7564,226
2020,pasuruan - tosari,6,28,1290,2765,58,3183,499,186,1159,3685,7413,275
2020,sidoarjo - tarik,5,16,1272,2069,62,4347,390,164,967,2463,6866,464
2020,sidoarjo - prambon,6,6,769,1135,60,1,924,145,2062,478,8764,10
2020,sidoarjo - krembung,6,9,769,2440,58,0,914,64,1141,883,9046,5
2020,sidoarjo - porong,6,9,769,961,58,1,888,42,1197,957,9101,2
2020,sidoarjo - jabon,6,26,571,1464,59,3,776,21,645,1840,8943,7
2020,sidoarjo - tanggulangin,6,8,769,1007,58,0,665,175,2871,2484,8434,23
2020,sidoarjo - candi,6,14,639,1028,59,0,962,85,679,1457,9126,1
2020,sidoarjo - sidoarjo,6,12,568,1116,59,0,1104,99,1660,1691,8983,6
2020,sidoarjo - tulangan,6,24,619,964,59,0,1071,59,815,1591,9085,3
2020,sidoarjo - wonoayu,6,18,769,1845,59,1,882,27,917,1910,8802,8
2020,sidoarjo - krian,6,51,587,2951,59,0,1101,45,1609,500,8689,11
2020,sidoarjo - balongbendo,6,20,769,2234,58,0,946,27,918,1077,9084,4
2020,sidoarjo - taman,6,37,568,3442,59,0,1142,38,1038,2450,8628,13
2020,sidoarjo - sukodono,6,9,678,2696,59,1,908,65,1734,2270,8685,12
2020,sidoarjo - buduran,6,84,568,3266,59,0,1041,33,1384,2140,8414,25
2020,sidoarjo - gedangan,4,500,568,1791,61,0,1064,30,1762,1640,5735,590
2020,sidoarjo - sedati,6,29,568,2730,59,0,1030,169,1055,1759,8787,9
2020,sidoarjo - waru,6,30,671,1721,58,0,1054,273,2162,2037,8605,15
2020,mojokerto - jatirejo,6,8,762,3522,59,1,889,48,2103,2057,8424,24
2020,mojokerto - gondang,6,36,1258,5000,59,1704,781,91,2747,1170,7465,260
2020,mojokerto - pacet,6,20,967,2618,58,2351,681,63,1195,848,8238,42
2020,mojokerto - trawas,6,18,1110,4308,59,746,750,55,1351,1090,8217,46
2020,mojokerto - ngoro,6,25,1158,1336,59,3517,902,131,2249,1944,7562,227
2020,mojokerto - pungging,6,79,930,2023,59,3163,782,38,1618,730,7663,194
2020,mojokerto - kutorejo,6,50,1015,4390,59,3355,754,60,1880,1220,7477,255
2020,mojokerto - mojosari,6,34,1168,1324,60,2150,702,50,911,1600,7889,124
2020,mojokerto - dlanggu,6,52,957,3409,58,2864,746,80,1419,330,7931,110
2020,mojokerto - bangsal,6,77,1079,3261,59,1997,940,59,585,1640,7868,130
2020,mojokerto - puri,6,34,1113,2709,59,3619,816,109,1208,2328,7521,242
2020,mojokerto - trowulan,6,83,1039,3728,59,3683,820,172,550,748,7567,225
2020,mojokerto - sooko,5,68,1123,3908,60,2640,758,43,1480,1870,7274,328
2020,mojokerto - gedeg,6,100,930,3742,57,3745,936,67,1463,1745,7509,244
2020,mojokerto - kemlagi,5,258,1068,4371,60,1932,859,36,1133,1600,6438,551
2020,mojokerto - jetis,6,71,1005,4917,59,2678,762,92,629,1440,7537,240
2020,mojokerto - dawarblandong,6,93,1258,3585,59,1281,821,90,1238,1580,7580,220
2020,mojokerto - mojoanyar,6,63,1142,2422,61,2287,846,76,1240,286,7686,186
2020,jombang - perak,6,31,1171,3074,60,3584,827,114,1954,150,7501,248
2020,jombang - gudo,6,36,1085,3836,60,3305,837,54,1510,2311,7405,276
2020,jombang - ngoro,5,77,1120,2175,60,4316,831,52,1055,1960,7203,356
2020,jombang - bareng,6,33,1022,3230,58,3564,805,83,1759,1600,7659,197
2020,jombang - wonosalam,6,22,1125,5250,59,2943,642,125,697,1287,7689,184
2020,jombang - mojoagung,6,20,1171,6201,58,2189,727,452,738,2220,7605,212
2020,jombang - mojowarno,6,38,945,2378,58,3137,768,57,1559,850,7966,102
2020,jombang - diwek,6,32,976,1447,58,1616,922,34,760,1300,8607,14
2020,jombang - jombang,6,51,945,6001,59,3267,788,45,1634,1570,7365,290
2020,jombang - peterongan,5,62,1183,6261,58,4153,832,36,669,3230,7050,406
2020,jombang - sumobito,6,58,1107,3030,60,2470,864,48,1376,2330,7474,256
2020,jombang - kesamben,6,36,1082,4390,60,1344,739,47,586,1930,7829,139
2020,jombang - tembelang,6,35,1203,4890,61,1132,853,176,834,935,7773,147
2020,jombang - ploso,6,23,1279,5059,60,1356,804,85,639,2120,7748,154
2020,jombang - plandaan,6,23,1220,2705,60,1380,590,110,784,2677,7848,136
2020,jombang - kabuh,6,46,1025,3465,60,1752,782,51,620,1869,7870,128
2020,jombang - kudu,5,40,1279,5599,59,2529,670,64,1674,2600,7138,376
2020,jombang - bandarkedungmulyo,6,24,1258,6265,59,1413,722,162,987,1676,7730,167
2020,jombang - jogoroto,6,24,1122,4255,60,2841,845,57,1233,1540,7661,196
2020,jombang - megaluh,6,135,945,6192,60,1229,940,31,709,1310,7434,268
2020,jombang - ngusikan,6,35,1171,5544,59,1195,713,50,1540,1994,7646,202
2020,nganjuk - sawahan,6,25,1279,3617,58,2492,614,338,537,3240,7633,205
2020,nganjuk - ngetos,5,21,1337,5171,58,6314,666,165,883,1055,7041,411
2020,nganjuk - berbek,5,29,1558,4197,59,5609,504,187,631,1307,6900,458
2020,nganjuk - loceret,6,31,1437,4543,58,3295,704,89,661,555,7684,189
2020,nganjuk - pace,6,27,1321,2956,59,3409,770,202,1533,1751,7456,262
2020,nganjuk - prambon,6,25,1300,3890,59,1847,829,120,849,1132,7939,108
2020,nganjuk - ngronggot,5,28,1351,4038,60,4755,767,91,1400,672,7143,374
2020,nganjuk - kertosono,6,39,1377,5473,58,2169,840,87,2799,1084,7452,263
2020,nganjuk - patianrowo,6,61,1152,5525,59,1428,851,36,1366,972,7716,169
2020,nganjuk - baron,5,20,1489,4227,60,4628,626,59,1373,1279,6950,440
2020,nganjuk - tanjunganom,6,24,1362,4003,59,4866,785,78,712,174,7397,278
2020,nganjuk - sukomoro,6,18,1395,2678,60,3425,571,130,1207,1371,7393,280
2020,nganjuk - nganjuk,6,23,1479,5136,59,993,795,82,557,1049,8043,79
2020,nganjuk - bagor,6,67,1152,2746,57,960,915,46,1418,1019,8264,39
2020,nganjuk - wilangan,6,42,1413,4621,59,2136,763,73,1079,965,7647,201
2020,nganjuk - rejoso,5,22,1534,5511,59,4240,688,89,1286,1696,7044,409
2020,nganjuk - gondang,6,21,1271,4570,58,1591,822,93,619,1274,8224,45
2020,nganjuk - ngluyu,6,24,1294,4500,59,1298,800,335,1348,1835,7763,152
2020,nganjuk - lengkong,5,17,1221,5640,59,3398,630,257,1548,1384,7257,333
2020,nganjuk - jatikalen,6,32,1558,2722,60,743,639,87,2316,1986,7551,232
2020,madiun - kebon sari,6,23,1312,5007,59,1289,734,221,1127,1841,7728,168
2020,madiun - dolopo,6,35,1132,2812,58,643,802,80,4180,1940,7699,176
2020,madiun - geger,6,21,1181,5226,59,2307,734,75,1403,1080,7768,150
2020,madiun - dagangan,6,40,1315,3311,58,2030,790,103,1164,2440,7740,160
2020,madiun - kare,6,26,1094,6597,60,1507,859,77,1543,2670,7483,254
2020,madiun - gemarang,5,23,1418,3733,58,4167,483,711,1087,1978,7047,407
2020,madiun - wungu,6,27,1167,2454,59,3264,782,159,1000,2010,7696,178
2020,madiun - madiun,6,12,1426,4413,60,2185,692,102,659,960,7704,174
2020,madiun - jiwan,6,19,1161,2958,59,2582,642,103,1225,2609,7737,162
2020,madiun - balerejo,6,23,1054,1665,58,2096,744,70,576,1898,8392,27
2020,madiun - mejayan,6,15,1294,2799,59,760,734,104,1163,2890,7996,91
2020,madiun - saradan,5,31,1426,4397,61,1364,636,493,1653,1739,7222,346
2020,madiun - pilangkenceng,6,20,1426,4346,58,2892,647,165,1308,2860,7370,286
2020,madiun - sawahan,6,22,1087,3517,60,707,804,39,1004,910,8300,35
2020,madiun - wonoasri,6,23,1218,2052,57,2151,772,42,676,1090,8463,20
2020,magetan - poncol,6,40,1054,4734,58,3067,771,70,1580,1800,7661,195
2020,magetan - parang,6,16,1397,949,58,1186,598,204,1385,1096,8273,37
2020,magetan - lembeyan,6,21,1397,4161,58,902,642,301,1388,1258,8013,87
2020,magetan - takeran,6,17,1032,2573,60,1982,730,126,891,1557,8056,75
2020,magetan - kawedanan,6,19,1333,3899,58,2968,775,36,850,1066,7971,98
2020,magetan - magetan,6,37,1238,3880,60,633,762,27,1542,1380,7914,117
2020,magetan - plaosan,6,22,1286,2545,59,1047,700,73,1130,810,8225,44
2020,magetan - panekan,6,22,1397,4931,58,3121,728,57,1818,578,7588,217
2020,magetan - sukomoro,6,18,1229,2637,58,1163,697,169,1722,1579,8215,47
2020,magetan - bendo,6,53,1040,3113,59,1201,834,88,1655,1455,7969,100
2020,magetan - maospati,6,43,1229,2273,58,1886,770,58,2247,894,7931,111
2020,magetan - barat,6,18,1291,5401,57,976,722,107,1686,2110,8020,84
2020,magetan - karangrejo,6,36,1165,2685,59,3877,792,33,1788,920,7473,257
2020,magetan - karas,5,29,1047,6557,60,2127,891,32,2819,1135,7327,307
2020,magetan - kartoharjo,5,19,1162,5801,59,5725,826,24,1360,910,7130,383
